  4.9093827111653408E+00   2.2683622625777791E-02   -1.0668864588352171E+03   -1.0668864588352171E+03   8.7260269131737811E-01   0.0000000000000000E+00   -2.7256814928652195E-01
  4.9093910945049339E+00   2.6549234310384674E-02   -1.0609804590113645E+03   -1.0609804590113645E+03   8.7260268458737822E-01   1.0000000000000000E+00   -2.7256814928652195E-01
  4.9093989481143092E+00   3.1046208584408569E-02   -1.0550680340923175E+03   -1.0550680340923175E+03   8.7260267577036632E-01   2.0000000000000000E+00   -2.7256814928652195E-01
  4.9094062055101562E+00   3.6272852077699411E-02   -1.0491492043414664E+03   -1.0491492043414664E+03   8.7260266739202164E-01   3.0000000000000000E+00   -2.7256814928652195E-01
  4.9094127893217765E+00   4.2341962452374399E-02   -1.0432239955840344E+03   -1.0432239955840344E+03   8.7260266220695182E-01   4.0000000000000000E+00   -2.7256814928652195E-01
  4.9094186094670800E+00   4.9382831405715519E-02   -1.0372924383846726E+03   -1.0372924383846726E+03   8.7260266328706959E-01   5.0000000000000000E+00   -2.7256814928652195E-01
  4.9094235613069426E+00   5.7543503718025066E-02   -1.0313545691889858E+03   -1.0313545691889858E+03   8.7260267380191714E-01   6.0000000000000000E+00   -2.7256814928652195E-01
  4.9094275234870910E+00   6.6993321969485195E-02   -1.0254104312356121E+03   -1.0254104312356121E+03   8.7260269670999480E-01   7.0000000000000000E+00   -2.7256814928652195E-01
  4.9094303573710061E+00   7.7925789537996767E-02   -1.0194600751969137E+03   -1.0194600751969137E+03   8.7260273435046176E-01   8.0000000000000000E+00   -2.7256814928652195E-01
  4.9094319046012869E+00   9.0561787690799173E-02   -1.0135035590192215E+03   -1.0135035590192215E+03   8.7260278795340740E-01   9.0000000000000000E+00   -2.7256814928652195E-01
  4.9094319840014071E+00   1.0515318605624249E-01   -1.0075409468807245E+03   -1.0075409468807245E+03   8.7260285710299190E-01   1.0000000000000000E+01   -2.7256814928652195E-01
  4.9094303829694743E+00   1.2198688943903881E-01   -1.0015723069705970E+03   -1.0015723069705970E+03   8.7260293923525822E-01   1.1000000000000000E+01   -2.7256814928652195E-01
