
	Caracteristiques modele d'atmosphere

121
   0.0000000D+000  1.2250000D+000
   1.0000000D+003  1.1116630D+000
   2.0000000D+003  1.0065580D+000
   3.0000000D+003  9.0925625D-001
   4.0000000D+003  8.1934125D-001
   5.0000000D+003  7.3643325D-001
   6.0000000D+003  6.6011575D-001
   7.0000000D+003  5.9002125D-001
   8.0000000D+003  5.2578225D-001
   9.0000000D+003  4.6706800D-001
   1.0000000D+004  4.1351100D-001
   1.1000000D+004  3.6480500D-001
   1.2000000D+004  3.1193400D-001
   1.3000000D+004  2.6659675D-001
   1.4000000D+004  2.2786225D-001
   1.5000000D+004  1.9475050D-001
   1.6000000D+004  1.6646525D-001
   1.7000000D+004  1.4229600D-001
   1.8000000D+004  1.2164740D-001
   1.9000000D+004  1.0399515D-001
   2.0000000D+004  8.8910500D-002
   2.1000000D+004  7.5714800D-002
   2.2000000D+004  6.4509725D-002
   2.3000000D+004  5.5006175D-002
   2.4000000D+004  4.6938325D-002
   2.5000000D+004  4.0084450D-002
   2.6000000D+004  3.4257125D-002
   2.7000000D+004  2.9298325D-002
   2.8000000D+004  2.5075750D-002
   2.9000000D+004  2.1477925D-002
   3.0000000D+004  1.8410525D-002
   3.1000000D+004  1.5791475D-002
   3.2000000D+004  1.3554625D-002
   3.3000000D+004  1.1573065D-002
   3.4000000D+004  9.8874650D-003
   3.5000000D+004  8.4634025D-003
   3.6000000D+004  7.2578800D-003
   3.7000000D+004  6.2354950D-003
   3.8000000D+004  5.3666025D-003
   3.9000000D+004  4.6267025D-003
   4.0000000D+004  3.9957050D-003
   4.1000000D+004  3.4564600D-003
   4.2000000D+004  2.9947575D-003
   4.3000000D+004  2.5989600D-003
   4.4000000D+004  2.2589000D-003
   4.5000000D+004  1.9662475D-003
   4.6000000D+004  1.7141425D-003
   4.7000000D+004  1.4965825D-003
   4.8000000D+004  1.3167525D-003
   4.9000000D+004  1.1627700D-003
   5.0000000D+004  1.0268808D-003
   5.1000000D+004  9.0690425D-004
   5.2000000D+004  8.0562125D-004
   5.3000000D+004  7.1791125D-004
   5.4000000D+004  6.3900900D-004
   5.5000000D+004  5.6810600D-004
   5.6000000D+004  5.0445500D-004
   5.7000000D+004  4.4738225D-004
   5.8000000D+004  3.9626300D-004
   5.9000000D+004  3.5053375D-004
   6.0000000D+004  3.0968000D-004
   6.1000000D+004  2.7321175D-004
   6.2000000D+004  2.4071250D-004
   6.3000000D+004  2.1177800D-004
   6.4000000D+004  1.8605300D-004
   6.5000000D+004  1.6320675D-004
   6.6000000D+004  1.4295750D-004
   6.7000000D+004  1.2502350D-004
   6.8000000D+004  1.0916955D-004
   6.9000000D+004  9.5170250D-005
   7.0000000D+004  8.2829600D-005
   7.1000000D+004  7.1965075D-005
   7.2000000D+004  6.2373325D-005
   7.3000000D+004  5.3824050D-005
   7.4000000D+004  4.6385850D-005
   7.5000000D+004  3.9921525D-005
   7.6000000D+004  3.4311025D-005
   7.7000000D+004  2.9447775D-005
   7.8000000D+004  2.5238675D-005
   7.9000000D+004  2.1599200D-005
   8.0000000D+004  1.8458300D-005
   8.1000000D+004  1.5749825D-005
   8.2000000D+004  1.3418650D-005
   8.3000000D+004  1.1414305D-005
   8.4000000D+004  9.6939150D-006
   8.5000000D+004  8.2196275D-006
   8.6000000D+004  6.9580000D-006
   8.7000000D+004  5.8236500D-006
   8.8000000D+004  4.8755000D-006
   8.9000000D+004  4.0804750D-006
   9.0000000D+004  3.4165250D-006
   9.1000000D+004  2.8603750D-006
   9.2000000D+004  2.3924250D-006
   9.3000000D+004  1.9992000D-006
   9.4000000D+004  1.6696750D-006
   9.5000000D+004  1.3928250D-006
   9.6000000D+004  1.1620350D-006
   9.7000000D+004  9.6848500D-007
   9.8000000D+004  8.0703000D-007
   9.9000000D+004  6.7252500D-007
   1.0000000D+005  5.6043750D-007
   1.0100000D+005  4.6954250D-007
   1.0200000D+005  3.9347000D-007
   1.0300000D+005  3.3001500D-007
   1.0400000D+005  2.7685000D-007
   1.0500000D+005  2.3250500D-007
   1.0600000D+005  1.9538750D-007
   1.0700000D+005  1.6427250D-007
   1.0800000D+005  1.3818000D-007
   1.0900000D+005  1.1606875D-007
   1.1000000D+005  9.7081250D-008
   1.1100000D+005  8.1119500D-008
   1.1200000D+005  6.8379500D-008
   1.1300000D+005  5.8114000D-008
   1.1400000D+005  4.9747250D-008
   1.1500000D+005  4.2887250D-008
   1.1600000D+005  3.7203250D-008
   1.1700000D+005  3.2462500D-008
   1.1800000D+005  2.8469000D-008
   1.1900000D+005  2.5088000D-008
   1.2000000D+005  2.2221500D-008
 -1.                   tranches d'altitude du gabarit d'erreurs de densite
 35.
 65.
90.
500.
 11.7                      dispersions max de densite sur le gabarit  (%)
 11.7   
 35.   
 58.4   
 58.4
  6.76329d-02	        densite du modele exponentiel  (kg/m3)
  1.33399d-04	        facteur d'echelle du modele exponentiel (m-1)
  0.0                   altitude initiale du modele exponentiel (m)
  1.3	                constante des gaz atmosphere planete cible 



